word,correct
അകത്തളിര,അകതളിര
അകത്തളിർ,അകതളിർ
അകമ്പിടി,അകമ്പടി
അകർന്ന്,അകന്ന്
അകൽച,അകൽച്ച
അകിമ്പടി,അകമ്പടി‌
അക്ഷറം,അക്ഷരം
അക്ഷറങ്ങളുടെ,അക്ഷരങ്ങളുടെ
അംഗണം,അങ്കണം
അഗദി,അഗതി
അഗധി,അഗതി
അംഗവീരൻ,അങ്കവീരൻ
അഗാതം,അഗാധം
അംഗീകൃദം,അംഗീകൃതം
അംഗീകൃധം,അംഗീകൃതം
അംഗുശ്ടം,അംഗുഷ്ഠം
അംഗുശ്ട്ടം,അംഗുഷ്ഠം
അഗ്നിഭാധ,അഗ്നിബാധ
അംഘബംഖം,അംഗഭംഗം
അംഘബംഗം,അംഗഭംഗം
അംഘഭംഗം,അംഗഭംഗം
അഘാതം,അഗാധം
അഘാധം,അഗാധം
അഘില,അഖില
അങ്കത്വം,അംഗത്വം
അങ്കപങ്കം,അംഗഭംഗം
അങ്കബലം,അംഗബലം
അങ്കീകൃതം,അംഗീകൃതം
അങ്കുഷ്ടം,അംഗുഷ്ഠം
അങ്ങിനെ,അങ്ങനെ
അങ്ങെനെ,അങ്ങനെ
അച്ചുതൻ,അച്യുതൻ
അഛൻ,അച്ഛൻ
അഛ്ചൻ,അച്ഛൻ
അംജനം,അഞ്ജനം
അഞ്ചനം,അഞ്ജനം
അഞ്ജലീ,അഞ്ജലി
അഞ്ജലീബന്ധം,അഞ്ജലിബന്ധം
അഞ്ജാം,അഞ്ചാം
അടിമത്വ,അടിമത്ത
അടിമത്വം,അടിമത്തം
അടിയന്തിര,അടിയന്തര
അട്ടിപ്പേറായി,അട്ടിപ്പേരായി
അണ്ഠകടാഹ,അണ്ഡകടാഹ
അതത,അതാത
അതത്,അതാത്
അതിഥീ,അതിഥി
അതിഥീപൂജ,അതിഥിപൂജ
അതിധി,അതിഥി
അതിർതി,അതിർത്തി
അതിർഥി,അതിർത്തി
അതൃത്തി,അതിർത്തി
അത്ത്യുജ്ജലം,അത്യുജ്ജ്വലം
അത്യുഛകോടി,അത്യുച്ചകോടി
അത്യുജ്ജലം,അത്യുജ്ജ്വലം
അഥരം,അധരം
അഥിതി,അതിഥി
അഥിധി,അതിഥി
അഥിപൻ,അധിപൻ
അഥിർത്തി,അതിർത്തി
അഥിർഥി,അതിർത്തി
അഥീനത,അധീനത
അദരം,അധരം
അദിപൻ,അധിപൻ
അദീനത,അധീനത
അദ്ധേഹ,അദ്ദേഹ
അദ്ഭുത,അത്ഭുത
അദ്ഭുതം,അത്ഭുതം
അദ്രിശ്യ,അദൃശ്യ
അധ: പതന,അധഃപതന
അധ:കൃത,അധഃകൃത
അധ:കൃതം,അധഃകൃതം
അധ:പതന,അധഃപതന
അധ:പതനം,അധഃപതനം
അധകൃത,അധഃകൃത
അധകൃതം,അധഃകൃതം
അധക്കൃത,അധഃകൃത
അധക്കൃതം,അധഃകൃതം
അധപതന,അധഃപതന
അധപതനം,അധഃപതനം
അധപതിക്കുക,അധഃപതിക്കുക
അധപ്പതന,അധഃപതന
അധപ്പതനം,അധഃപതനം
അധവാ,അഥവാ
അധിതി,അതിഥി
